version,count_row,overlap count,%
v1,6,50,0.208333333
v2,2,5,0.0625
v3,2,6,0.075
v4,2,3,0.0375
v5,2,6,0.075
v6,2,5,0.0625
v7,2,4,0.05
v8,2,7,0.0875
v9,2,3,0.0375
v10,4,32,0.2
v11,2,2,0.025
v12,2,6,0.075
v13,2,10,0.125
v14,2,5,0.0625
v15,2,8,0.1
v16,2,5,0.0625
v17,2,6,0.075
v18,2,6,0.075
v19,2,4,0.05
v20,2,3,0.0375
v21,2,9,0.1125
v22,2,8,0.1
v23,2,4,0.05
v24,2,7,0.0875
v25,2,4,0.05
v26,2,10,0.125
v27,2,8,0.1
v28,2,5,0.0625
v29,2,5,0.0625
v30,4,31,0.19375
v31,4,30,0.1875
v32,2,9,0.1125
v33,4,28,0.175
v34,2,13,0.1625
v35,2,4,0.05
v36,2,4,0.05
v37,2,4,0.05
v38,2,4,0.05
v39,2,4,0.05
v40,2,5,0.0625
v41,2,2,0.025
v42,2,3,0.0375
v43,2,4,0.05
v44,2,4,0.05
v45,2,4,0.05
v46,2,2,0.025
v47,2,4,0.05
v48,2,5,0.0625
v49,2,3,0.0375
v50,2,4,0.05
v51,2,7,0.0875
v52,2,6,0.075
v53,2,0,0
v54,2,5,0.0625
,,,0.076658951
