75,41,6,88,62,7,94,27,92,65,42,89,21,98,13,60,77,67,14,44,
9,24,93,7,94,27,100,5,61,57,76,58,21,26,4,14,84,96,38,10,

69,49,20,89,58,88,6,85,7,4,80,92,34,74,65,77,29,98,37,59,
81,53,80,57,23,34,65,78,98,43,72,82,37,90,84,35,87,95,79,71,

63,94,92,71,84,85,26,66,37,8,42,28,43,49,30,35,48,14,83,86,
31,63,25,57,15,61,54,75,99,46,3,92,96,44,91,47,6,85,26,18,

62,60,78,30,6,80,29,41,65,77,21,98,92,49,75,86,37,13,45,89,
26,53,15,61,77,32,21,70,2,74,34,4,68,82,96,17,72,66,10,48,

33,63,27,71,49,79,75,35,68,21,64,38,31,98,11,88,48,26,58,46,
75,64,99,98,26,46,16,100,25,66,95,30,45,85,51,41,53,61,35,55,

35,87,93,48,96,9,45,39,66,38,27,73,1,81,68,91,6,59,89,85,
55,60,18,33,63,24,11,7,10,69,39,79,27,73,97,64,81,23,6,86,

35,63,91,72,85,16,44,45,19,18,64,69,29,22,86,53,51,38,76,56,
11,35,91,72,13,85,44,22,97,73,38,32,31,62,5,26,89,81,48,83,

38,85,62,45,72,54,81,67,26,86,87,29,12,40,8,66,93,35,42,9,
80,79,38,85,48,62,63,36,81,19,26,77,61,25,98,18,16,90,27,12,

26,18,40,91,66,42,8,81,59,38,27,12,39,9,45,97,82,93,48,67,
31,61,52,51,44,83,21,78,56,23,28,22,88,25,18,4,90,43,68,13,

45,67,26,22,62,12,93,79,8,91,29,81,3,72,85,82,2,19,18,97,
49,36,67,84,15,73,62,51,78,75,100,88,94,6,23,82,39,2,19,41,

31,33,27,94,24,41,48,45,40,23,92,93,51,77,56,8,7,76,63,10,
67,27,94,82,41,48,40,93,47,75,99,56,8,55,76,100,22,1,29,88,

59,2,56,12,81,41,33,88,18,48,97,57,13,79,93,20,9,42,64,27,
55,75,59,47,28,72,86,89,96,33,67,66,69,34,85,25,48,82,80,26,

