version,count_row,overlap count,%
v1,4,29,0.18125
v2,2,4,0.05
v3,2,2,0.025
v4,2,6,0.075
v5,4,28,0.175
v6,2,4,0.05
v7,2,8,0.1
v8,2,4,0.05
v9,2,5,0.0625
v10,2,3,0.0375
v11,2,4,0.05
v12,2,4,0.05
v13,2,3,0.0375
v14,2,7,0.0875
v15,2,5,0.0625
v16,2,2,0.025
v17,2,8,0.1
v18,2,3,0.0375
v19,4,28,0.175
v20,4,33,0.20625
v21,4,32,0.2
v22,2,4,0.05
v23,2,4,0.05
v24,2,3,0.0375
v25,2,6,0.075
v26,2,5,0.0625
v27,2,3,0.0375
v28,2,3,0.0375
v29,2,3,0.0375
v30,2,6,0.075
v31,2,5,0.0625
v32,2,7,0.0875
v33,2,5,0.0625
v34,2,6,0.075
v35,2,7,0.0875
v36,2,2,0.025
v37,2,3,0.0375
v38,2,9,0.1125
v39,2,9,0.1125
v40,2,6,0.075
v41,2,1,0.0125
v42,2,4,0.05
v43,2,8,0.1
v44,2,3,0.0375
v45,2,8,0.1
v46,2,2,0.025
v47,2,4,0.05
v48,4,25,0.15625
v49,2,7,0.0875
v50,2,6,0.075
v51,2,3,0.0375
v52,2,6,0.075
v53,2,3,0.0375
v54,2,7,0.0875
v55,2,3,0.0375
v56,2,4,0.05
v57,2,3,0.0375
v58,4,30,0.1875
v59,2,2,0.025
v60,2,3,0.0375
v61,2,3,0.0375
v62,2,9,0.1125
v63,2,7,0.0875
v64,2,4,0.05
v65,2,3,0.0375
v66,2,5,0.0625
v67,2,5,0.0625
v68,2,4,0.05
,,,0.071231618
