version,count_row,overlap count,%
v1,2,5,0.0625
v2,2,3,0.0375
v3,2,2,0.025
v4,2,3,0.0375
v5,4,37,0.23125
v6,4,30,0.1875
v7,2,7,0.0875
v8,2,3,0.0375
v9,2,5,0.0625
v10,4,38,0.2375
v11,2,4,0.05
v12,2,5,0.0625
v13,2,4,0.05
v14,2,4,0.05
v15,2,5,0.0625
v16,2,4,0.05
v17,2,8,0.1
v18,2,8,0.1
v19,2,3,0.0375
v20,2,2,0.025
v21,2,5,0.0625
v22,2,6,0.075
v23,2,4,0.05
v24,2,3,0.0375
v25,2,12,0.15
v26,2,4,0.05
v27,2,7,0.0875
v28,2,5,0.0625
v29,2,3,0.0375
v30,2,6,0.075
v31,2,7,0.0875
v32,2,7,0.0875
v33,2,3,0.0375
,,,0.075568182
