91,74,15,26,30,84,8,24,18,31,41,35,17,36,95,53,3,49,1,16,
96,52,32,71,27,90,25,60,67,57,39,66,12,64,63,17,19,72,94,91,

81,41,76,52,99,79,49,16,18,22,26,35,83,88,56,100,74,27,63,68,
10,9,38,98,20,49,52,47,3,39,66,18,46,84,70,53,42,80,95,15,

79,32,4,33,40,6,47,29,87,62,61,98,30,15,71,12,38,80,42,53,
34,41,22,2,13,75,15,76,89,40,18,43,47,36,90,29,35,42,7,5,

48,100,27,53,88,71,10,56,23,15,72,40,9,34,32,80,59,16,18,60,
17,78,5,27,23,68,20,59,11,48,72,16,96,6,70,53,63,60,90,65,

48,57,81,90,45,70,63,82,84,87,17,88,78,21,19,85,7,59,10,38,
96,30,83,63,90,45,99,44,42,36,39,51,33,71,43,47,100,21,12,57,

57,81,45,82,70,17,69,84,48,7,98,19,85,18,89,23,59,54,10,42,
88,8,20,39,85,98,84,96,52,57,81,31,5,77,60,68,75,29,15,91,

24,89,66,62,21,69,80,14,11,82,85,54,58,20,6,81,33,77,88,30,
6,49,65,27,68,19,24,39,100,66,18,5,67,60,8,10,17,73,35,82,

84,43,87,33,58,42,81,88,10,66,62,38,67,13,5,46,44,16,76,29,
8,85,43,48,42,47,3,93,77,92,96,75,16,60,15,68,37,12,82,14,

69,59,27,28,18,88,65,51,14,44,57,80,21,76,36,40,95,99,23,37,
70,42,36,26,77,59,57,49,83,35,93,41,78,20,63,80,5,4,25,65,

39,56,61,57,18,21,40,51,88,37,80,72,2,75,78,95,76,30,97,32,
5,96,87,93,35,69,52,84,78,10,2,60,62,100,55,76,19,40,47,41,

95,94,56,44,29,82,50,66,97,15,69,38,51,81,17,6,25,79,63,21,
5,48,66,91,55,100,64,8,18,40,10,56,25,79,58,53,85,68,89,80,

2,76,12,61,39,46,69,73,99,65,7,57,15,5,82,92,55,13,31,98,
48,30,90,3,69,9,6,78,32,47,96,61,36,98,46,5,70,97,81,60,

70,96,83,66,91,4,25,24,26,88,8,28,44,5,71,43,50,64,15,56,
59,88,26,91,1,29,76,12,14,35,84,9,13,78,86,89,30,44,96,63,

